Class_A,Class_B,Single_Accuracy,Dual_Accuracy,Accuracy_Diff,Single_F1,Dual_F1,F1_Diff,Single_AUC,Dual_AUC,AUC_Diff,Single_Convergence_Epochs,Dual_Convergence_Epochs,Report_Path
airplane,automobile,0.9885,0.9755,-0.013000000000000012,0.9885856079404467,0.9754139488208731,-0.013171659119573631,0.9996579999999999,0.995397,-0.004260999999999959,15,15,../results/comparison_vgg16_0vs1_20250506_094559/comparison_report.md
cat,dog,0.888,0.852,-0.03600000000000003,0.892925430210325,0.8500506585612969,-0.04287477164902809,0.9657934999999999,0.9306315000000001,-0.035161999999999805,15,15,../results/comparison_vgg16_3vs5_20250506_095418/comparison_report.md
